coin_id,price_usd,fetch_date,pct_change,year,month,year_month,risk_level,rolling_7d_trend,rolling_7d_variance
bitcoin,93507.85874741,2025-01-01,,2025,1,2025-01,Low Risk,,
bitcoin,94384.17611539,2025-01-02,0.9371590577719857,2025,1,2025-01,Low Risk,,
bitcoin,96852.14681235,2025-01-03,2.614814048853664,2025,1,2025-01,Low Risk,,
bitcoin,98084.34279281,2025-01-04,1.2722443652667614,2025,1,2025-01,Low Risk,,
bitcoin,98256.7387685,2025-01-05,0.1757629921160353,2025,1,2025-01,Low Risk,,
bitcoin,98364.589466,2025-01-06,0.10976417378771863,2025,1,2025-01,Low Risk,,
bitcoin,102229.3945319,2025-01-07,3.929061349090346,2025,1,2025-01,Low Risk,,
bitcoin,96952.09886775,2025-01-08,-5.162209644607907,2025,1,2025-01,Low Risk,3.683369683016502,6270013.202977952
bitcoin,95016.71440989,2025-01-09,-1.9962274983855721,2025,1,2025-01,Low Risk,0.6701740911810194,5077664.473114708
bitcoin,92376.27578346,2025-01-10,-2.7789201540262543,2025,1,2025-01,Low Risk,-4.621344158288965,7091490.872089212
bitcoin,94736.6267421,2025-01-11,2.555148428123366,2025,1,2025-01,Low Risk,-3.4130993340920956,7800153.548674033
bitcoin,94559.55167224,2025-01-12,-0.18691299864627142,2025,1,2025-01,Low Risk,-3.762782219925731,8205373.222673394
bitcoin,94454.77089639,2025-01-13,-0.11080929847595566,2025,1,2025-01,Low Risk,-3.974823247710957,8175072.447192115
bitcoin,94456.3493747,2025-01-14,0.0016711472538899486,2025,1,2025-01,Low Risk,-7.603532421171167,7619631.7729650475
bitcoin,96574.07768799,2025-01-15,2.2420179557111064,2025,1,2025-01,Low Risk,-0.38990510177160376,1741678.3554793722
bitcoin,100313.15239828,2025-01-16,3.8717167171610445,2025,1,2025-01,Low Risk,5.574217148302818,4709279.908270408
bitcoin,100044.57926776,2025-01-17,-0.26773471284570194,2025,1,2025-01,Low Risk,8.301161114435196,7104385.557229847
bitcoin,104160.69358484,2025-01-18,4.114280201092768,2025,1,2025-01,Low Risk,9.947648725550472,11796161.757158564
bitcoin,104334.61575724,2025-01-19,0.1669748601072163,2025,1,2025-01,Low Risk,10.33746872963408,15451248.097707285
bitcoin,101275.33714814,2025-01-20,-2.93217987807437,2025,1,2025-01,Low Risk,7.220986496522941,13580035.486222677
bitcoin,101764.90860171,2025-01-21,0.4834063922728671,2025,1,2025-01,Low Risk,7.73749914684676,10292774.618687205
bitcoin,106182.23682018,2025-01-22,4.340718504213115,2025,1,2025-01,Low Risk,9.949004289983376,8009043.431365797
bitcoin,103673.53509538,2025-01-23,-2.3626378572609075,2025,1,2025-01,Low Risk,3.3498924286199605,4191115.2336271154
bitcoin,104067.60991207,2025-01-24,0.38011129487138806,2025,1,2025-01,Low Risk,4.021238005852101,3475041.843713522
bitcoin,104835.19253556,2025-01-25,0.7375807171304816,2025,1,2025-01,Low Risk,0.6475561245860906,2220539.5754618496
bitcoin,104796.04077738,2025-01-26,-0.03734600684471845,2025,1,2025-01,Low Risk,0.4422549666676545,2324083.9816544754
bitcoin,102552.2487428,2025-01-27,-2.1411038221821,2025,1,2025-01,Low Risk,1.260831739115531,2462820.931418321
bitcoin,101958.46953746,2025-01-28,-0.5790016431811207,2025,1,2025-01,Low Risk,0.19020400883722477,2109439.7681292286
bitcoin,101313.11264498,2025-01-29,-0.6329605528679338,2025,1,2025-01,Low Risk,-4.5856296881802034,2353582.665781346
bitcoin,103718.97939814,2025-01-30,2.3746844710917037,2025,1,2025-01,Low Risk,0.04383404377810152,1471578.8972811117
bitcoin,104781.51351001,2025-01-31,1.0244355642869518,2025,1,2025-01,Low Risk,0.6859998019971947,1691478.5620012302
bitcoin,102382.39409722,2025-02-01,-2.289639968371715,2025,2,2025-02,Low Risk,-2.339670848134323,1764182.0960163325
bitcoin,100674.78762545,2025-02-02,-1.667871206594862,2025,2,2025-02,Low Risk,-3.9326420362433723,2052527.8179529207
bitcoin,97568.31653025,2025-02-03,-3.0856495141140083,2025,2,2025-02,Low Risk,-4.859895588491336,4109324.690291441
bitcoin,101466.8606657,2025-02-04,3.9957070841140307,2025,2,2025-02,Low Risk,-0.4821658014191432,4052704.4177322653
bitcoin,98118.43921664,2025-02-05,-3.3000148295628695,2025,2,2025-02,Low Risk,-3.153267474403565,5449129.5037711365
bitcoin,96582.88682919,2025-02-06,-1.564998790960781,2025,2,2025-02,Low Risk,-6.88021865463706,7825372.172377607
bitcoin,96635.41875332,2025-02-07,0.054390509390045416,2025,2,2025-02,Low Risk,-7.7743625605405935,7899485.020111636
bitcoin,96558.45630967,2025-02-08,-0.07964206565551635,2025,2,2025-02,Low Risk,-5.688417270277668,5005793.593701282
bitcoin,96558.23762501,2025-02-09,-0.00022647903492600818,2025,2,2025-02,Low Risk,-4.088958216385996,3424708.9084050306
bitcoin,96548.5786538,2025-02-10,-0.010003259636448547,2025,2,2025-02,Low Risk,-1.0451526814381884,2548770.6992958253
bitcoin,97399.98161383,2025-02-11,0.8818389373528968,2025,2,2025-02,Low Risk,-4.00808601467334,2549190.666237755
bitcoin,95739.97737079,2025-02-12,-1.7043167930170133,2025,2,2025-02,Low Risk,-2.424072238448982,433477.00807599386
bitcoin,97836.18856127,2025-02-13,2.189483691187455,2025,2,2025-02,Low Risk,1.297643685362715,346881.97719687264
bitcoin,96561.6639991,2025-02-14,-1.3027128109879604,2025,2,2025-02,Low Risk,-0.07632269324384655,347724.86244600284
